Question,Answer
Who painted the Mona Lisa?,Option B  
In which year did the Titanic sink?,Option B  
Which country is famous for the Great Wall?,Option B  
Which continent is the Sahara Desert located in?,Option B  
Who wrote the play 'Romeo and Juliet'?,Option B  
Which ocean is the largest?,Option C  
What is the square root of 64?,Option B  
Who discovered gravity?,Option B  
What is the primary color of a banana?,Option B  
What is the freezing point of water in Celsius?,Option A  
Which language is the most spoken worldwide?,Option C  
Which planet is known as the Red Planet?,Option C  
Who is known as the Father of Computers?,Option B  
What is the capital city of France?,Option C  
What is the chemical symbol for water?,Option B  
What is the largest mammal in the world?,Option B  
What gas do plants absorb from the atmosphere?,Option C  
Which country is known for the Eiffel Tower?,Option C  
What is the smallest prime number?,Option B  
What is the largest planet in our Solar System?,Option C  
